GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avlTree,avl,AvlNode,0,158,1,25,0,40,1,32,0,20
avlTree,avl,AvlTree,7,618,6,79,2,195,6,65,0,28
